Crank Radius,Link Length,Offset,Theta Angle,Phi Angle,Link Normal Stress,Xs,Vs,As
123.000,132.000,7.500,270.000,-43.977,0.273,132.437,-439.262,-180.402
123.000,132.000,7.500,285.000,-42.789,0.267,164.256,-600.746,-48.344
123.000,132.000,7.500,300.000,-39.062,0.253,193.875,-766.259,87.010
123.000,132.000,7.500,315.000,-32.450,0.233,219.275,-924.522,216.435
123.000,132.000,7.500,330.000,-22.791,0.213,238.726,-1064.748,331.112
123.000,132.000,7.500,345.000,-10.503,0.200,250.901,-1177.381,423.224
123.000,132.000,7.500,360.000,3.254,0.197,254.972,-1254.746,486.494
,,,,,,,,
124.000,132.500,5.500,15.000,16.039,0.204,252.133,-1299.243,520.808
124.000,132.500,5.500,30.000,27.942,0.222,239.632,-1292.968,515.676
124.000,132.500,5.500,45.000,37.053,0.246,219.829,-1243.720,475.400
124.000,132.500,5.500,60.000,43.120,0.269,194.073,-1154.855,402.726
124.000,132.500,5.500,75.000,46.454,0.285,164.120,-1032.430,302.606
124.000,132.500,5.500,90.000,47.500,0.290,132.010,-884.787,181.864
124.000,132.500,5.500,105.000,46.454,0.285,99.933,-721.989,48.730
124.000,132.500,5.500,120.000,43.120,0.269,70.073,-555.130,-87.723
124.000,132.500,5.500,135.000,37.053,0.246,44.467,-395.582,-218.197
124.000,132.500,5.500,150.000,27.942,0.222,24.858,-254.217,-333.800
124.000,132.500,5.500,165.000,16.039,0.204,12.583,-140.668,-426.655
124.000,132.500,5.500,180.000,2.378,0.196,8.479,-62.674,-490.435
124.000,132.500,5.500,195.000,-11.423,0.200,12.826,-25.550,-520.793
124.000,132.500,5.500,210.000,-23.698,0.214,25.326,-31.825,-515.662
124.000,132.500,5.500,225.000,-33.302,0.235,45.129,-81.071,-475.391
124.000,132.500,5.500,240.000,-39.843,0.256,70.884,-169.934,-402.723
124.000,132.500,5.500,255.000,-43.513,0.271,100.837,-292.357,-302.611
124.000,132.500,5.500,270.000,-44.679,0.276,132.946,-439.998,-181.876
124.000,132.500,5.500,285.000,-43.513,0.271,165.024,-602.795,-48.745
124.000,132.500,5.500,300.000,-39.843,0.256,194.884,-769.654,87.709
124.000,132.500,5.500,315.000,-33.302,0.235,220.491,-929.203,218.188
124.000,132.500,5.500,330.000,-23.698,0.214,240.100,-1070.571,333.798
124.000,132.500,5.500,345.000,-11.423,0.200,252.375,-1184.122,426.661
124.000,132.500,5.500,360.000,2.378,0.196,256.479,-1262.118,490.446
,,,,,,,,
121.000,132.500,11.000,15.000,17.989,0.206,249.217,-1283.732,508.208
121.000,132.500,11.000,30.000,29.439,0.225,237.019,-1277.608,503.200
121.000,132.500,11.000,45.000,38.156,0.250,217.695,-1229.552,463.898
121.000,132.500,11.000,60.000,43.936,0.272,192.562,-1142.837,392.982
121.000,132.500,11.000,75.000,47.104,0.288,163.334,-1023.373,295.284
121.000,132.500,11.000,90.000,48.096,0.294,132.001,-879.303,177.464
121.000,132.500,11.000,105.000,47.104,0.288,100.699,-720.443,47.551
121.000,132.500,11.000,120.000,43.936,0.272,71.562,-557.622,-85.601
121.000,132.500,11.000,135.000,38.156,0.250,46.575,-401.933,-212.918
121.000,132.500,11.000,150.000,29.439,0.225,27.441,-263.988,-325.725
121.000,132.500,11.000,165.000,17.989,0.206,15.463,-153.187,-416.333
121.000,132.500,11.000,180.000,4.751,0.197,11.458,-77.080,-478.570
121.000,132.500,11.000,195.000,-8.751,0.199,15.700,-40.853,-508.194
121.000,132.500,11.000,210.000,-20.910,0.210,27.898,-46.977,-503.187
121.000,132.500,11.000,225.000,-30.566,0.228,47.221,-95.032,-463.889
121.000,132.500,11.000,240.000,-37.253,0.246,72.353,-181.745,-392.980
121.000,132.500,11.000,255.000,-41.064,0.260,101.582,-301.206,-295.289
